match_id,status,data_completeness,match_date,home_team,away_team,season,league_id,created_at,updated_at
4803175,FT,partial,2025-12-08 19:45:00,Torino,Milan,2024/2025,3,,2025-12-11 02:22:13
4803176,FT,partial,2025-12-08 17:00:00,Udinese,Genoa,2024/2025,3,,2025-12-11 02:22:13
4803173,FT,partial,2025-12-08 14:00:00,Pisa,Parma,2024/2025,3,,2025-12-11 02:22:13
4803172,FT,partial,2025-12-07 19:45:00,Napoli,Juventus,2024/2025,3,,2025-12-11 02:22:13
4803171,FT,partial,2025-12-07 17:00:00,Lazio,Bologna,2024/2025,3,,2025-12-11 02:22:13
4803168,FT,partial,2025-12-07 14:00:00,Cagliari,Roma,2024/2025,3,,2025-12-11 02:22:13
4803169,FT,partial,2025-12-07 11:30:00,Cremonese,Lecce,2024/2025,3,,2025-12-11 02:22:13
4803177,FT,partial,2025-12-06 19:45:00,Hellas Verona,Atalanta,2024/2025,3,,2025-12-11 02:22:13
4803170,FT,partial,2025-12-06 17:00:00,Inter,Como,2024/2025,3,,2025-12-11 02:22:13
4803174,FT,partial,2025-12-06 14:00:00,Sassuolo,Fiorentina,2024/2025,3,,2025-12-11 02:22:13
4803159,FT,partial,2025-12-01 19:45:00,Bologna,Cremonese,2024/2025,3,,2025-12-11 02:22:13
4803167,FT,partial,2025-11-30 19:45:00,Roma,Napoli,2024/2025,3,,2025-12-11 02:22:13
4803158,FT,partial,2025-11-30 17:00:00,Atalanta,Fiorentina,2024/2025,3,,2025-12-11 02:22:13
4803166,FT,partial,2025-11-30 14:00:00,Pisa,Inter,2024/2025,3,,2025-12-11 02:22:13
4803163,FT,partial,2025-11-30 11:30:00,Lecce,Torino,2024/2025,3,,2025-12-11 02:22:13
4803164,FT,partial,2025-11-29 19:45:00,Milan,Lazio,2024/2025,3,,2025-12-11 02:22:13
4803162,FT,partial,2025-11-29 17:00:00,Juventus,Cagliari,2024/2025,3,,2025-12-11 02:22:13
4803165,FT,partial,2025-11-29 14:00:00,Parma,Udinese,2024/2025,3,,2025-12-11 02:22:13
4803161,FT,partial,2025-11-29 14:00:00,Genoa,Hellas Verona,2024/2025,3,,2025-12-11 02:22:13
4803160,FT,partial,2025-11-28 19:45:00,Como,Sassuolo,2024/2025,3,,2025-12-11 02:22:13
4803155,FT,partial,2025-11-24 19:45:00,Sassuolo,Pisa,2024/2025,3,,2025-12-11 02:22:12
4803156,FT,partial,2025-11-24 17:30:00,Torino,Como,2024/2025,3,,2025-12-11 02:22:12
4803152,FT,partial,2025-11-23 19:45:00,Inter,Milan,2024/2025,3,,2025-12-11 02:22:12
4803153,FT,partial,2025-11-23 17:00:00,Lazio,Lecce,2024/2025,3,,2025-12-11 02:22:12
4803150,FT,partial,2025-11-23 14:00:00,Cremonese,Roma,2024/2025,3,,2025-12-11 02:22:12
4803148,FT,partial,2025-11-23 11:30:00,Hellas Verona,Parma,2024/2025,3,,2025-12-11 02:22:12
4803154,FT,partial,2025-11-22 19:45:00,Napoli,Atalanta,2024/2025,3,,2025-12-11 02:22:12
4803151,FT,partial,2025-11-22 17:00:00,Fiorentina,Juventus,2024/2025,3,,2025-12-11 02:22:12
4803157,FT,partial,2025-11-22 14:00:00,Udinese,Bologna,2024/2025,3,,2025-12-11 02:22:12
4803149,FT,partial,2025-11-22 14:00:00,Cagliari,Genoa,2024/2025,3,,2025-12-11 02:22:12
4803142,FT,partial,2025-11-09 19:45:00,Inter,Lazio,2024/2025,3,,2025-12-11 02:22:12
4803147,FT,partial,2025-11-09 17:00:00,Roma,Udinese,2024/2025,3,,2025-12-11 02:22:12
4803141,FT,partial,2025-11-09 14:00:00,Genoa,Fiorentina,2024/2025,3,,2025-12-11 02:22:12
4803139,FT,partial,2025-11-09 14:00:00,Bologna,Napoli,2024/2025,3,,2025-12-11 02:22:12
4803138,FT,partial,2025-11-09 11:30:00,Atalanta,Sassuolo,2024/2025,3,,2025-12-11 02:22:12
4803145,FT,partial,2025-11-08 19:45:00,Parma,Milan,2024/2025,3,,2025-12-11 02:22:12
4803143,FT,partial,2025-11-08 17:00:00,Juventus,Torino,2024/2025,3,,2025-12-11 02:22:12
4803144,FT,partial,2025-11-08 14:00:00,Lecce,Hellas Verona,2024/2025,3,,2025-12-11 02:22:12
4803140,FT,partial,2025-11-08 14:00:00,Como,Cagliari,2024/2025,3,,2025-12-11 02:22:12
4803146,FT,partial,2025-11-07 19:45:00,Pisa,Cremonese,2024/2025,3,,2025-12-11 02:22:12
4803130,FT,partial,2025-11-03 19:45:00,Lazio,Cagliari,2024/2025,3,,2025-12-11 02:22:12
4803134,FT,partial,2025-11-03 17:30:00,Sassuolo,Genoa,2024/2025,3,,2025-12-11 02:22:12
4803131,FT,partial,2025-11-02 19:45:00,Milan,Roma,2024/2025,3,,2025-12-11 02:22:12
4803133,FT,partial,2025-11-02 17:00:00,Parma,Bologna,2024/2025,3,,2025-12-11 02:22:12
4803135,FT,partial,2025-11-02 14:00:00,Torino,Pisa,2024/2025,3,,2025-12-11 02:22:12
4803129,FT,partial,2025-11-02 14:00:00,Fiorentina,Lecce,2024/2025,3,,2025-12-11 02:22:12
4803137,FT,partial,2025-11-02 11:30:00,Hellas Verona,Inter,2024/2025,3,,2025-12-11 02:22:12
4803128,FT,partial,2025-11-01 19:45:00,Cremonese,Juventus,2024/2025,3,,2025-12-11 02:22:12
4803132,FT,partial,2025-11-01 17:00:00,Napoli,Como,2024/2025,3,,2025-12-11 02:22:12
4803136,FT,partial,2025-11-01 14:00:00,Udinese,Atalanta,2024/2025,3,,2025-12-11 02:22:12
4803126,FT,partial,2025-10-30 19:45:00,Pisa,Lazio,2024/2025,3,,2025-12-11 02:22:12
