iter	Accuracy	MultiClass
0	0.47	1.094051995
1	0.4804166667	1.089112063
2	0.4747916667	1.085028813
3	0.47875	1.081353335
4	0.4770833333	1.077385221
5	0.480625	1.073418598
6	0.4791666667	1.070461689
7	0.479375	1.067650881
8	0.479375	1.064773591
9	0.480625	1.062178606
10	0.4833333333	1.05945721
11	0.4825	1.05670397
12	0.480625	1.054082479
13	0.481875	1.051866728
14	0.4822916667	1.050321565
15	0.4833333333	1.048274136
16	0.4829166667	1.046228621
17	0.48375	1.044412855
18	0.4835416667	1.04316525
19	0.4841666667	1.041224124
20	0.48375	1.039898077
21	0.4839583333	1.038168476
22	0.4845833333	1.036467877
23	0.485	1.03515093
24	0.484375	1.034048829
25	0.4845833333	1.032646192
26	0.485625	1.031478169
27	0.4854166667	1.030088074
28	0.4854166667	1.028412484
29	0.4860416667	1.026634207
30	0.4860416667	1.025007888
31	0.4866666667	1.023299843
32	0.4866666667	1.022404681
33	0.486875	1.020878832
34	0.4872916667	1.019323581
35	0.4889583333	1.017721641
36	0.4885416667	1.016693834
37	0.4895833333	1.015422787
38	0.4902083333	1.013653733
39	0.4897916667	1.012516091
40	0.4910416667	1.011317037
41	0.4914583333	1.010527407
42	0.4929166667	1.009560608
43	0.4925	1.008665159
44	0.493125	1.007700411
45	0.4933333333	1.005900967
46	0.494375	1.005128523
47	0.4941666667	1.004135634
48	0.4939583333	1.003147069
49	0.494375	1.00186941
50	0.495625	1.000827508
51	0.49625	0.9995946221
52	0.4979166667	0.9983711577
53	0.4979166667	0.9969118057
54	0.4972916667	0.9961871936
55	0.499375	0.9956101148
56	0.4997916667	0.9944540029
57	0.5	0.9935810118
58	0.5002083333	0.9927489295
59	0.501875	0.9914131532
60	0.5027083333	0.9902784423
61	0.5025	0.989553181
62	0.5033333333	0.9885322461
63	0.5041666667	0.9877743598
64	0.5052083333	0.9868171592
65	0.5047916667	0.9857812453
66	0.5047916667	0.9849455082
67	0.505625	0.9843365146
68	0.5066666667	0.9833629893
69	0.5079166667	0.9824588065
70	0.508125	0.9818175311
71	0.5083333333	0.9803584318
72	0.5091666667	0.9795711189
73	0.5097916667	0.9787325361
74	0.51	0.9779950005
75	0.5110416667	0.9770282838
76	0.5110416667	0.976269345
77	0.511875	0.9758087475
78	0.5135416667	0.9749593188
79	0.5154166667	0.974148004
80	0.5139583333	0.9733768419
81	0.5147916667	0.9719700074
82	0.51625	0.9707131558
83	0.5170833333	0.9699897949
84	0.5172916667	0.9694675051
85	0.5179166667	0.9681714209
86	0.518125	0.9673329862
87	0.5185416667	0.9665335368
88	0.5189583333	0.9664559863
89	0.52125	0.9652110544
90	0.5216666667	0.9643462043
91	0.5227083333	0.9637835426
92	0.52375	0.9631042244
93	0.5235416667	0.9620655598
94	0.5245833333	0.9611782917
95	0.5254166667	0.960562651
96	0.5264583333	0.9598906713
97	0.5264583333	0.9591957051
98	0.5277083333	0.9580139783
99	0.5308333333	0.957112227
100	0.5308333333	0.9563047088
101	0.5325	0.9555340543
102	0.53375	0.9544446142
103	0.535	0.9538387514
104	0.534375	0.9535874478
105	0.534375	0.953208749
106	0.53625	0.9521227061
107	0.536875	0.9520369716
108	0.538125	0.9512767234
109	0.5408333333	0.9499355879
110	0.5425	0.9488461249
111	0.5425	0.9481047506
112	0.5439583333	0.9472818235
113	0.5452083333	0.9464511693
114	0.5454166667	0.9457284377
115	0.5454166667	0.9452174673
116	0.5470833333	0.9441752107
117	0.5475	0.9437375197
118	0.5479166667	0.9426290118
119	0.5495833333	0.9415913304
120	0.5508333333	0.9405579433
121	0.553125	0.9397783485
122	0.555	0.93851422
123	0.5566666667	0.9378374574
124	0.5564583333	0.9368454109
125	0.5572916667	0.9359516779
126	0.5589583333	0.9355207306
127	0.56	0.9342682084
128	0.5602083333	0.9337508424
129	0.5614583333	0.9330841108
130	0.5639583333	0.9320579714
131	0.5647916667	0.9311974498
132	0.5666666667	0.929803291
133	0.569375	0.9290423506
134	0.569375	0.9277276305
135	0.570625	0.927265116
136	0.5722916667	0.926260756
137	0.574375	0.9250215576
138	0.575	0.9241682258
139	0.5758333333	0.9231539582
140	0.578125	0.9222503483
141	0.5777083333	0.9210148088
142	0.5797916667	0.9203148637
143	0.5816666667	0.9193387437
144	0.581875	0.9189129953
145	0.5816666667	0.9182642708
146	0.5820833333	0.9178911564
147	0.5845833333	0.9169159791
148	0.586875	0.9158900283
149	0.5864583333	0.914998112
150	0.5883333333	0.9140433651
151	0.5883333333	0.9135494629
152	0.5904166667	0.9128066966
153	0.5889583333	0.9118637241
154	0.5891666667	0.9110146071
155	0.589375	0.9105240695
156	0.590625	0.909931054
157	0.5904166667	0.9092223578
158	0.5929166667	0.908614255
159	0.5935416667	0.9078017358
160	0.59625	0.906884487
161	0.598125	0.9061147318
162	0.5991666667	0.9048247201
163	0.599375	0.9038584174
164	0.6002083333	0.9031780716
165	0.6016666667	0.9025654278
166	0.601875	0.9020475312
167	0.60375	0.9009674674
168	0.6041666667	0.9002330558
169	0.60375	0.899690447
170	0.6041666667	0.8987717923
171	0.6070833333	0.8979921604
172	0.6083333333	0.8970553119
173	0.6102083333	0.8959085575
174	0.61	0.895026111
175	0.6102083333	0.8941760594
176	0.6108333333	0.8935011715
177	0.6120833333	0.8932031492
178	0.614375	0.8916962773
179	0.6175	0.8905570587
180	0.618125	0.8894650736
181	0.6195833333	0.8887260827
182	0.6191666667	0.8875622566
183	0.620625	0.8867129643
184	0.6204166667	0.8860706072
185	0.6220833333	0.8851136963
186	0.623125	0.8842755374
187	0.6252083333	0.8831689954
188	0.6260416667	0.8823295358
189	0.6258333333	0.8811513306
190	0.6277083333	0.8805707858
191	0.6295833333	0.8796805855
192	0.6302083333	0.8790449405
193	0.63125	0.8783475888
194	0.6320833333	0.8774368181
195	0.633125	0.8763849135
196	0.634375	0.8752156242
197	0.63625	0.8744177561
198	0.6379166667	0.8736301154
199	0.6383333333	0.8729682468
200	0.64	0.8723586131
201	0.6416666667	0.8716105383
202	0.6427083333	0.8708263614
203	0.64375	0.8697033869
204	0.645	0.8688920961
205	0.6466666667	0.8680987599
206	0.6464583333	0.8673948693
207	0.6479166667	0.8664439275
208	0.6489583333	0.8656361715
209	0.6508333333	0.8643774917
210	0.6516666667	0.863010517
211	0.6514583333	0.8622620893
212	0.6520833333	0.8616534663
213	0.6527083333	0.8609567317
214	0.6520833333	0.8604343075
215	0.653125	0.8597834474
216	0.654375	0.8587064437
217	0.6552083333	0.8582092657
218	0.6572916667	0.857584145
219	0.6572916667	0.8567268003
220	0.6579166667	0.8559290013
221	0.6566666667	0.8547196449
222	0.658125	0.8541996742
223	0.66	0.8536052778
224	0.66125	0.852593567
225	0.6627083333	0.8514868506
226	0.663125	0.8508626772
227	0.6645833333	0.8498847101
228	0.66625	0.8485913517
229	0.6679166667	0.8476320667
230	0.6695833333	0.8469929525
231	0.6702083333	0.8463092592
232	0.6702083333	0.8452430536
233	0.6708333333	0.8447130496
234	0.673125	0.8435764302
235	0.67375	0.8425250021
236	0.6727083333	0.8420803692
237	0.67375	0.8413633163
238	0.675625	0.840647266
239	0.6758333333	0.8397752826
240	0.6770833333	0.8390091845
241	0.6766666667	0.8380115214
242	0.6772916667	0.8372073192
243	0.6795833333	0.8362763948
244	0.6804166667	0.8351912406
245	0.6822916667	0.8343864392
246	0.6820833333	0.8332946237
247	0.684375	0.8320832804
248	0.686875	0.8309646169
249	0.6879166667	0.8303131842
250	0.6875	0.8297880104
251	0.6895833333	0.8286268287
252	0.690625	0.8275348777
253	0.6916666667	0.8267129868
254	0.6922916667	0.8258648003
255	0.691875	0.8253842083
256	0.6916666667	0.824521158
257	0.6925	0.8237434768
258	0.693125	0.8229349739
259	0.6947916667	0.8224022145
260	0.6952083333	0.821632205
261	0.695625	0.8213132256
262	0.6966666667	0.8205283084
263	0.6966666667	0.8200680739
264	0.6975	0.8191147169
265	0.6972916667	0.8184681307
266	0.6975	0.8177455732
267	0.6979166667	0.8170055438
268	0.698125	0.8159669728
269	0.6995833333	0.8149940121
270	0.7014583333	0.8138941257
271	0.7020833333	0.8130298848
272	0.7035416667	0.8122506399
273	0.7027083333	0.8115467837
274	0.7027083333	0.8109146906
275	0.7035416667	0.8104217126
276	0.70375	0.8094899138
277	0.7045833333	0.8088925173
278	0.704375	0.8084229105
279	0.7058333333	0.8078925742
280	0.7072916667	0.8071537467
281	0.7085416667	0.8064638887
282	0.70875	0.8056281027
283	0.70875	0.8047010698
284	0.71	0.8041996822
285	0.710625	0.8033479777
286	0.7114583333	0.8027634142
287	0.711875	0.8021930782
288	0.71375	0.8016758987
289	0.7133333333	0.800757815
290	0.7141666667	0.7997612013
291	0.7158333333	0.7988448331
292	0.7152083333	0.7980508573
293	0.7152083333	0.7972262958
294	0.715625	0.7967168184
295	0.7166666667	0.7962562029
296	0.7183333333	0.7956115561
297	0.7197916667	0.7949900496
298	0.719375	0.7943374537
299	0.7191666667	0.794025384
300	0.719375	0.7932119601
301	0.7197916667	0.7920974944
302	0.7210416667	0.7913126347
303	0.7222916667	0.7905235368
304	0.7229166667	0.7897978825
305	0.724375	0.7888688451
306	0.7252083333	0.7883434881
307	0.7258333333	0.7879437462
308	0.7266666667	0.7871576815
309	0.72625	0.7863579738
310	0.7275	0.785229389
311	0.7277083333	0.7849161634
312	0.7275	0.7843481327
313	0.7279166667	0.7836327072
314	0.73	0.7828394194
315	0.7297916667	0.7823789636
316	0.7304166667	0.7818701297
317	0.7304166667	0.7813949459
318	0.7297916667	0.7803338745
319	0.7322916667	0.779711394
320	0.7327083333	0.7792301439
321	0.7322916667	0.7786594307
322	0.7329166667	0.7778342042
323	0.734375	0.7767619467
324	0.735625	0.7762939967
325	0.7370833333	0.7758379096
326	0.7360416667	0.7750027752
327	0.7375	0.7743508115
328	0.7370833333	0.7735190666
329	0.7370833333	0.7728957771
330	0.7385416667	0.7723388
331	0.7391666667	0.771655975
332	0.7391666667	0.7709708808
333	0.7416666667	0.7703663028
334	0.741875	0.7699987432
335	0.7420833333	0.7693861063
336	0.7420833333	0.7690725327
337	0.743125	0.7683494583
338	0.7445833333	0.7672632733
339	0.745625	0.7664000882
340	0.7460416667	0.7659981751
341	0.746875	0.7653248816
342	0.7483333333	0.7647191768
343	0.7485416667	0.763934683
344	0.7495833333	0.7630520822
345	0.7497916667	0.7623959282
346	0.7502083333	0.7618530476
347	0.7502083333	0.7613637503
348	0.75125	0.7608632884
349	0.7522916667	0.7601538389
350	0.7533333333	0.7592911645
351	0.7545833333	0.758796207
352	0.7558333333	0.7581064163
353	0.7577083333	0.7571225314
354	0.7583333333	0.7564158546
355	0.7589583333	0.7557197724
356	0.7583333333	0.7546617324
357	0.75875	0.7542736041
358	0.7597916667	0.7536811624
359	0.7597916667	0.7530521114
360	0.760625	0.7526907676
361	0.7625	0.7520502875
362	0.765625	0.7510711344
363	0.765	0.7504421029
364	0.76625	0.7495224149
365	0.76625	0.7489274677
366	0.7670833333	0.7486032958
367	0.7670833333	0.7479553745
368	0.7664583333	0.7471356982
369	0.7677083333	0.7463229932
