iter	Passed	Remaining
0	57	28868
1	61	15325
2	65	10854
3	69	8622
4	72	7205
5	75	6239
6	79	5581
7	84	5224
8	88	4846
9	91	4483
10	94	4197
11	97	3968
12	101	3795
13	107	3737
14	116	3758
15	122	3696
16	127	3625
17	131	3520
18	137	3483
19	141	3385
20	144	3294
21	147	3214
22	152	3172
23	156	3110
24	160	3043
25	163	2980
26	166	2924
27	172	2899
28	175	2849
29	178	2804
30	183	2769
31	187	2740
32	191	2703
33	194	2667
34	198	2639
35	202	2616
36	206	2585
37	210	2553
38	213	2526
39	217	2499
40	220	2467
41	223	2437
42	227	2414
43	232	2410
44	237	2404
45	242	2392
46	246	2372
47	250	2357
48	253	2332
49	256	2308
50	259	2285
51	263	2270
52	266	2249
53	269	2228
54	273	2215
55	278	2211
56	282	2195
57	285	2177
58	288	2158
59	292	2148
60	297	2139
61	301	2126
62	304	2109
63	307	2096
64	312	2090
65	316	2078
66	318	2060
67	322	2046
68	325	2036
69	332	2043
70	335	2029
71	339	2016
72	343	2007
73	347	1997
74	350	1985
75	353	1971
76	356	1957
77	359	1946
78	363	1935
79	368	1935
80	373	1929
81	377	1923
82	381	1915
83	384	1905
84	387	1893
85	390	1882
86	394	1872
87	397	1863
88	398	1842
89	402	1832
90	405	1822
91	409	1817
92	414	1814
93	417	1804
94	420	1794
95	424	1785
96	428	1779
97	432	1775
98	436	1769
99	440	1762
100	444	1755
101	447	1747
102	451	1741
103	455	1733
104	460	1732
105	463	1723
106	466	1714
107	467	1697
108	470	1689
109	474	1683
110	478	1676
111	481	1668
112	484	1660
113	488	1652
114	491	1646
115	495	1639
116	499	1633
117	502	1627
118	506	1621
119	509	1614
120	513	1608
121	516	1601
122	521	1597
123	524	1591
124	529	1587
125	533	1584
126	537	1579
127	542	1577
128	546	1570
129	550	1566
130	554	1561
131	559	1558
132	563	1555
133	567	1550
134	572	1547
135	576	1543
136	580	1537
137	584	1532
138	588	1527
139	591	1521
140	594	1514
141	598	1507
142	601	1502
143	605	1498
144	612	1499
145	616	1494
146	620	1491
147	625	1486
148	630	1484
149	635	1481
150	639	1479
151	644	1476
152	648	1471
153	653	1468
154	657	1463
155	662	1460
156	670	1464
157	678	1467
158	686	1471
159	692	1472
160	699	1471
161	704	1469
162	709	1467
163	713	1462
164	719	1460
165	723	1456
166	728	1452
167	732	1447
168	736	1442
169	740	1436
170	744	1431
171	748	1426
172	752	1422
173	757	1418
174	761	1413
175	765	1408
176	769	1404
177	773	1399
178	777	1394
179	782	1391
180	786	1386
181	790	1381
182	795	1378
183	804	1381
184	809	1378
185	814	1374
186	821	1374
187	827	1372
188	833	1372
189	843	1375
190	850	1375
191	854	1371
192	858	1365
193	862	1360
194	867	1356
195	870	1350
196	873	1344
197	877	1338
198	882	1334
199	888	1332
