home_team,away_team,home_score,away_score,target,final_score,match_status,league,home_xg,away_xg,home_possession,away_possession,home_opening_odds,home_current_odds,external_id
Freiburg,Eintracht Frankfurt,2,2,1,2 - 2,Finished,Bundesliga,1.14,0.89,51,49,9.0,9.0,4829371
Manchester City,Everton,2,0,2,2 - 0,Finished,Premier League,2.38,0.81,71,29,8.0,8.0,4813450
St. Pauli,Hoffenheim,0,3,0,0 - 3,Finished,Bundesliga,0.99,2.34,49,51,9.0,9.0,4829375
Liverpool,Manchester United,1,2,0,1 - 2,Finished,Premier League,2.75,1.34,64,36,9.0,9.0,4813449
Sunderland,Wolverhampton Wanderers,2,0,2,2 - 0,Finished,Premier League,0.65,0.83,41,59,8.0,8.0,4813452
Bayern München,Borussia Dortmund,2,1,2,2 - 1,Finished,Bundesliga,2.48,1.58,61,39,8.0,8.0,4829369
Fulham,Arsenal,0,1,0,0 - 1,Finished,Premier League,0.44,1.87,37,63,8.0,8.0,4813448
Braga,Santa Clara,1,0,2,1 - 0,Finished,Ligue 1,0.85,0.57,67,33,5.0,5.0,4844280
Arouca,Alverca,1,0,2,1 - 0,Finished,Ligue 1,1.61,0.22,69,31,4.0,4.0,4844284
Manchester United,AFC Bournemouth,4,4,1,4 - 4,Finished,Premier League,3.4,1.94,57,43,5.0,5.0,4813531
FC Porto,Estrela da Amadora,3,1,2,3 - 1,Finished,Ligue 1,2.95,0.21,66,34,5.0,5.0,4844283
Borussia Dortmund,Borussia Mönchengladbach,2,0,2,2 - 0,Finished,Bundesliga,1.43,0.28,57,43,9.0,9.0,4829442
Werder Bremen,VfB Stuttgart,0,4,0,0 - 4,Finished,Bundesliga,0.91,2.17,38,62,4.0,4.0,4829440
Estoril,Braga,1,0,2,1 - 0,Finished,Ligue 1,2.13,2.19,32,68,9.0,9.0,4844295
Nacional,Tondela,3,1,2,3 - 1,Finished,Ligue 1,2.35,3.57,44,56,5.0,5.0,4844279
Moreirense,Benfica,0,4,0,0 - 4,Finished,Ligue 1,0.51,1.0,53,47,4.0,4.0,4844285
Bayern München,Mainz 05,2,2,1,2 - 2,Finished,Bundesliga,4.5,0.6,85,15,4.0,4.0,4829433
Sporting CP,AVS Futebol SAD,6,0,2,6 - 0,Finished,Ligue 1,2.7,0.67,67,33,3.0,3.0,4844281
Freiburg,Borussia Dortmund,1,1,1,1 - 1,Finished,Bundesliga,1.5,0.93,57,43,4.0,4.0,4829436
Famalicao,Estoril,4,0,2,4 - 0,Finished,Ligue 1,3.0,0.77,54,46,4.0,4.0,4844282
West Ham United,Aston Villa,2,3,0,2 - 3,Finished,Premier League,1.03,0.67,41,59,4.0,4.0,4813534
Nottingham Forest,Tottenham Hotspur,3,0,2,3 - 0,Finished,Premier League,2.32,0.33,48,52,4.0,4.0,4813532
Sunderland,Newcastle United,1,0,2,1 - 0,Finished,Premier League,0.3,0.24,47,53,4.0,4.0,4813533
Crystal Palace,Manchester City,0,3,0,0 - 3,Finished,Premier League,1.88,1.19,39,61,35.0,35.0,4813529
Brentford,Leeds United,1,1,1,1 - 1,Finished,Premier League,0.72,1.52,57,43,35.0,35.0,4813526
Hoffenheim,Hamburger SV,4,1,2,4 - 1,Finished,Bundesliga,1.31,1.38,59,41,3.0,3.0,4829437
Borussia Mönchengladbach,Wolfsburg,1,3,0,1 - 3,Finished,Bundesliga,0.8,1.72,58,42,3.0,3.0,4829434
Chelsea,Everton,2,0,2,2 - 0,Finished,Premier League,2.2,1.03,58,42,35.0,35.0,4813528
Casa Pia AC,Gil Vicente,1,1,1,1 - 1,Finished,Ligue 1,0.15,0.85,33,67,3.0,3.0,4844278
Eintracht Frankfurt,Augsburg,1,0,2,1 - 0,Finished,Bundesliga,1.05,0.62,51,49,3.0,3.0,4829435
Burnley,Fulham,2,3,0,2 - 3,Finished,Premier League,2.46,2.23,53,47,35.0,35.0,4813527
Liverpool,Brighton & Hove Albion,2,0,2,2 - 0,Finished,Premier League,1.89,1.9,49,51,3.0,3.0,4813530
St. Pauli,FC Heidenheim,2,1,2,2 - 1,Finished,Bundesliga,0.8,2.43,36,64,3.0,3.0,4829438
Bayer Leverkusen,1. FC Köln,2,0,2,2 - 0,Finished,Bundesliga,2.07,0.2,61,39,3.0,3.0,4829432
Rio Ave,Vitoria de Guimaraes,0,1,0,0 - 1,Finished,Ligue 1,0.46,1.4,43,57,3.0,3.0,4844286
