match_id,league_name,season,home_team,away_team,match_date,home_score,away_score,label,label_name
4535605,Serie A,2024/2025,Empoli,Hellas Verona,2025-05-25 18:45:00+00:00,1,2,2,A
4535611,Serie A,2024/2025,Venezia,Juventus,2025-05-25 18:45:00+00:00,2,3,2,A
4535602,Serie A,2024/2025,Atalanta,Parma,2025-05-25 18:45:00+00:00,2,3,2,A
4535610,Serie A,2024/2025,Udinese,Fiorentina,2025-05-25 18:45:00+00:00,2,3,2,A
4535609,Serie A,2024/2025,Torino,Roma,2025-05-25 18:45:00+00:00,0,2,2,A
4535606,Serie A,2024/2025,Lazio,Lecce,2025-05-25 18:45:00+00:00,0,1,2,A
4507135,La Liga,2024/2025,Villarreal,Sevilla,2025-05-25 00:00:00+00:00,4,2,0,H
4506601,Premier League,2024/2025,Tottenham Hotspur,Brighton & Hove Albion,2025-05-25 00:00:00+00:00,1,4,2,A
4507132,La Liga,2024/2025,Girona,Atletico Madrid,2025-05-25 00:00:00+00:00,0,4,2,A
4506597,Premier League,2024/2025,Manchester United,Aston Villa,2025-05-25 00:00:00+00:00,2,0,0,H
4506600,Premier League,2024/2025,Southampton,Arsenal,2025-05-25 00:00:00+00:00,1,2,2,A
4506596,Premier League,2024/2025,Liverpool,Crystal Palace,2025-05-25 00:00:00+00:00,1,1,1,D
4506595,Premier League,2024/2025,Ipswich Town,West Ham United,2025-05-25 00:00:00+00:00,1,3,2,A
4506594,Premier League,2024/2025,Fulham,Manchester City,2025-05-25 00:00:00+00:00,0,2,2,A
4506599,Premier League,2024/2025,Nottingham Forest,Chelsea,2025-05-25 00:00:00+00:00,0,1,2,A
4506598,Premier League,2024/2025,Newcastle United,Everton,2025-05-25 00:00:00+00:00,0,1,2,A
4506602,Premier League,2024/2025,Wolverhampton Wanderers,Brentford,2025-05-25 00:00:00+00:00,1,1,1,D
4506593,Premier League,2024/2025,AFC Bournemouth,Leicester City,2025-05-25 00:00:00+00:00,2,0,0,H
4535607,Serie A,2024/2025,Milan,Monza,2025-05-24 18:45:00+00:00,2,0,0,H
4535603,Serie A,2024/2025,Bologna,Genoa,2025-05-24 16:00:00+00:00,1,3,2,A
4507130,La Liga,2024/2025,Leganes,Real Valladolid,2025-05-24 00:00:00+00:00,3,0,0,H
4507133,La Liga,2024/2025,Getafe,Celta Vigo,2025-05-24 00:00:00+00:00,1,2,2,A
