match_id,home_team,away_team,match_time,failure_reason,candidate_matches
2331,Dijon,Angers,2020-08-22 23:00:00+08:00,No match found in any level,Dijon vs Angers (Historical League); Dijon vs Nantes (Historical League); Lyon vs Angers (Historical League)
2341,Angers,Bordeaux,2020-08-30 21:00:00+08:00,No match found in any level,Angers vs Bordeaux (Historical League); Angers vs Bordeaux (Historical League); Nantes vs Bordeaux (Historical League)
2362,West Bromwich Albion,Leicester City,2020-09-13 21:00:00+08:00,No match found in any level,West Bromwich Albion vs Leicester City (Historical League); West Bromwich Albion vs Manchester City (Historical League); West Bromwich Albion vs Manchester United (Historical League)
2375,Famalicao,Benfica,2020-09-19 02:00:00+08:00,No match found in any level,Famalicao vs Benfica (Historical League); Famalicao vs Benfica (Historical League); Famalicao vs Benfica (Historical League)
2376,Bayern München,Schalke 04,2020-09-19 02:30:00+08:00,No match found in any level,Bayern München vs Schalke 04 (Historical League); Bayern München vs Schalke 04 (Historical League); Bayer Leverkusen vs Schalke 04 (Historical League)
2378,Vitoria de Guimaraes,Cova da Piedade SAD,2020-09-19 04:15:00+08:00,No match found in any level,Vitoria de Guimaraes vs Cova da Piedade SAD (Historical League); Vitoria de Guimaraes vs Cova da Piedade SAD (Historical League); Vitoria de Guimaraes vs AVS Futebol SAD (Historical League)
2387,Nacional,Boavista,2020-09-19 23:00:00+08:00,No match found in any level,Nacional vs Boavista (Historical League); Nacional vs Boavista (Historical League); Nacional vs Benfica (Historical League)
2395,FC Porto,Braga,2020-09-20 04:00:00+08:00,No match found in any level,FC Porto vs Braga (Historical League); FC Porto vs Braga (Historical League); FC Porto vs Braga (Historical League)
2404,SD Huesca,Cadiz,2020-09-20 22:00:00+08:00,No match found in any level,SD Huesca vs Cadiz (Historical League); SD Huesca vs Celta Vigo (Historical League); SD Huesca vs Real Madrid (Historical League)
2405,Santa Clara,Maritimo,2020-09-20 23:00:00+08:00,No match found in any level,Santa Clara vs Maritimo (Historical League); Santa Clara vs Maritimo (Historical League); Santa Clara vs Maritimo (Historical League)
2410,Granada,Deportivo Alaves,2020-09-21 00:30:00+08:00,No match found in any level,Granada vs Deportivo Alaves (Historical League); Granada vs Deportivo Alaves (Historical League); Granada vs Deportivo Alaves (Historical League)
2411,Moreirense,Farense,2020-09-21 01:30:00+08:00,No match found in any level,Moreirense vs Farense (Historical League); Moreirense vs Farense (Historical League); Moreirense vs Farense (Historical League)
2415,Tondela,Rio Ave,2020-09-21 04:00:00+08:00,No match found in any level,Tondela vs Rio Ave (Historical League); Vizela vs Rio Ave (Historical League); Vizela vs Rio Ave (Historical League)
2417,Portimonense,Pacos de Ferreira,2020-09-22 02:45:00+08:00,No match found in any level,Portimonense vs Pacos de Ferreira (Historical League); Portimonense vs Pacos de Ferreira (Historical League); Portimonense vs Pacos de Ferreira (Historical League)
2421,Braga,Santa Clara,2020-09-26 03:30:00+08:00,No match found in any level,Braga vs Santa Clara (Historical League); Braga vs Santa Clara (Historical League); Braga vs Santa Clara (Historical League)
2431,Maritimo,Tondela,2020-09-26 22:30:00+08:00,No match found in any level,Maritimo vs Tondela (Historical League); Maritimo vs Tondela (Historical League); Maritimo vs Vizela (Historical League)
2436,Benfica,Moreirense,2020-09-27 01:30:00+08:00,No match found in any level,Benfica vs Moreirense (Historical League); Benfica vs Moreirense (Historical League); Benfica vs Moreirense (Historical League)
2440,Boavista,FC Porto,2020-09-27 04:00:00+08:00,No match found in any level,Boavista vs FC Porto (Historical League); Boavista vs FC Porto (Historical League); Boavista vs FC Porto (Historical League)
2452,Farense,Nacional,2020-09-27 22:30:00+08:00,No match found in any level,Farense vs Nacional (Historical League); Farense vs Nacional (Historical League); Moreirense vs Nacional (Historical League)
2453,Gil Vicente,Portimonense,2020-09-27 23:00:00+08:00,No match found in any level,Gil Vicente vs Portimonense (Historical League); Gil Vicente vs Portimonense (Historical League); Gil Vicente vs Portimonense (Historical League)
2459,Pacos de Ferreira,Sporting CP,2020-09-28 01:30:00+08:00,No match found in any level,Pacos de Ferreira vs Sporting CP (Historical League); Pacos de Ferreira vs Sporting CP (Historical League); Pacos de Ferreira vs Sporting CP (Historical League)
2463,Rio Ave,Vitoria de Guimaraes,2020-09-28 04:00:00+08:00,No match found in any level,Rio Ave vs Vitoria de Guimaraes (Historical League); Rio Ave vs Vitoria de Guimaraes (Historical League); Rio Ave vs Vitoria de Guimaraes (Historical League)
