Div,match_date,Time,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,b365_home_odds,b365_draw_odds,b365_away_odds,bw_home_odds,bw_draw_odds,bw_away_odds,iw_home_odds,iw_draw_odds,iw_away_odds,ps_home_odds,ps_draw_odds,ps_away_odds,wh_home_odds,wh_draw_odds,wh_away_odds,vc_home_odds,vc_draw_odds,vc_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Season,BFH,BFD,BFA,1XBH,1XBD,1XBA,BFEH,BFED,BFEA,BFE>2.5,BFE<2.5,BFEAHH,BFEAHA,BFCH,BFCD,BFCA,1XBCH,1XBCD,1XBCA,BFECH,BFECD,BFECA,BFEC>2.5,BFEC<2.5,BFECAHH,BFECAHA
E0,2022-08-05,20:00,Crystal Palace,Arsenal,0,2,A,0,1,A,A Taylor,10,10,2,2,16,11,3,5,1,2,0,0,4.2,3.6,1.85,4.33,3.5,1.87,4.3,3.55,1.85,4.5,3.65,1.89,4.4,3.5,1.83,4.6,3.5,1.87,4.6,3.78,1.95,4.39,3.59,1.88,2.1,1.72,2.14,1.78,2.19,1.91,2.09,1.76,0.5,2.04,1.89,2.03,1.89,2.06,1.91,2.01,1.87,4.5,3.6,1.8,4.5,3.5,1.83,4.4,3.55,1.85,4.58,3.63,1.88,4.8,3.4,1.78,4.75,3.5,1.85,5.01,3.7,1.91,4.56,3.57,1.85,2.1,1.72,2.14,1.78,2.19,1.91,2.08,1.76,0.5,2.09,1.84,2.04,1.88,2.09,1.88,2.03,1.85,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2022-08-06,12:30,Fulham,Liverpool,2,2,D,1,0,H,A Madley,9,11,3,4,7,9,4,4,2,0,0,0,11.0,6.0,1.25,10.0,5.75,1.28,12.0,5.75,1.27,11.2,6.22,1.28,12.0,5.5,1.27,13.0,6.0,1.25,13.0,6.4,1.31,10.99,6.05,1.28,1.5,2.62,1.5,2.7,1.54,2.76,1.48,2.63,1.75,1.9,2.03,1.91,2.0,1.92,2.04,1.89,1.99,11.0,5.75,1.28,9.25,6.0,1.29,11.0,5.5,1.3,10.5,6.5,1.29,11.0,5.5,1.27,11.5,6.0,1.29,11.95,6.93,1.3,10.33,6.2,1.28,1.5,2.62,1.49,2.77,1.51,3.0,1.47,2.73,1.75,1.9,2.03,1.91,2.02,2.01,2.06,1.89,1.99,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2022-08-06,15:00,AFC Bournemouth,Aston Villa,2,0,H,1,0,H,P Bankes,7,15,3,2,18,16,5,5,3,3,0,0,3.75,3.5,2.0,3.75,3.4,2.0,3.65,3.45,2.05,3.93,3.58,2.04,3.75,3.3,2.05,3.75,3.3,2.0,4.0,3.66,2.1,3.8,3.5,2.04,2.0,1.8,2.1,1.81,2.1,1.87,2.03,1.8,0.5,1.87,2.06,1.88,2.04,1.88,2.07,1.85,2.04,4.0,3.5,1.95,3.9,3.4,1.95,3.85,3.45,2.0,4.09,3.59,2.0,4.0,3.4,1.95,4.1,3.4,2.0,4.25,3.63,2.06,3.99,3.49,2.0,2.1,1.72,2.13,1.79,2.24,1.81,2.1,1.76,0.5,1.93,2.0,1.93,2.0,1.94,2.04,1.88,2.0,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2022-08-06,17:30,Everton,Chelsea,0,1,A,0,1,A,C Pawson,8,15,4,6,14,11,4,16,3,2,0,0,5.5,4.0,1.61,5.5,3.8,1.58,5.5,3.9,1.63,6.04,4.06,1.63,5.8,3.75,1.62,5.75,3.7,1.6,6.1,4.2,1.67,5.74,3.96,1.63,2.02,1.88,2.05,1.86,2.07,1.92,1.99,1.84,0.75,2.11,1.82,2.13,1.82,2.13,1.84,2.08,1.8,6.5,4.2,1.55,6.0,3.9,1.57,6.25,3.9,1.6,6.89,4.16,1.56,6.5,3.9,1.53,6.0,4.0,1.6,7.08,4.3,1.64,6.44,4.04,1.57,2.1,1.72,2.13,1.79,2.18,1.86,2.08,1.77,1.0,1.93,2.0,1.94,1.98,1.94,2.11,1.88,2.0,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2022-08-13,12:30,Aston Villa,Everton,2,1,H,1,0,H,M Oliver,12,15,4,4,9,7,5,8,4,1,0,0,1.8,3.5,4.75,1.8,3.5,4.75,1.8,3.55,4.6,1.83,3.55,5.12,1.8,3.4,4.75,1.8,3.6,5.0,1.85,3.68,5.12,1.82,3.56,4.87,2.1,1.72,2.15,1.78,2.15,1.82,2.08,1.77,-0.5,1.77,2.02,1.82,2.1,1.83,2.16,1.81,2.07,1.75,3.5,5.0,1.75,3.6,4.8,1.75,3.6,4.9,1.81,3.64,5.11,1.75,3.5,5.0,1.8,3.5,5.0,1.84,3.75,5.37,1.78,3.62,4.95,2.1,1.72,2.23,1.72,2.23,1.81,2.13,1.74,-0.75,2.05,1.85,2.07,1.87,2.07,1.9,2.02,1.86,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2022-08-13,15:00,Wolverhampton Wanderers,Fulham,0,0,D,0,0,D,J Brooks,7,9,1,3,7,14,5,3,3,3,0,0,2.3,3.3,3.2,2.35,3.25,3.1,2.4,3.25,3.1,2.44,3.24,3.29,2.35,3.25,3.1,2.3,3.2,3.1,2.48,3.46,3.29,2.4,3.28,3.15,2.1,1.72,2.18,1.75,2.2,1.79,2.11,1.75,-0.25,2.04,1.86,2.07,1.86,2.07,1.89,2.04,1.84,2.2,3.4,3.3,2.2,3.3,3.3,2.2,3.4,3.3,2.23,3.48,3.5,2.2,3.25,3.4,2.15,3.4,3.5,2.29,3.5,3.59,2.22,3.41,3.41,1.97,1.93,2.0,1.91,2.02,2.03,1.96,1.88,-0.25,1.9,2.0,1.92,2.01,1.95,2.05,1.9,1.98,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2022-08-14,14:00,Nottingham Forest,West Ham United,1,0,H,1,0,H,R Jones,13,19,6,5,10,11,6,7,4,1,0,0,4.2,3.6,1.85,4.1,3.6,1.87,4.1,3.6,1.9,4.28,3.72,1.92,4.2,3.5,1.85,4.1,3.5,1.85,4.4,3.75,1.94,4.21,3.64,1.9,1.92,1.98,1.9,2.01,1.95,2.01,1.9,1.93,0.5,2.0,1.9,2.0,1.92,2.02,1.92,1.98,1.89,3.8,3.5,1.95,3.9,3.6,1.9,3.95,3.5,1.95,4.03,3.68,1.99,4.2,3.4,1.91,4.0,3.6,1.95,4.48,3.8,2.02,4.01,3.62,1.95,1.91,1.99,1.92,2.01,1.92,2.03,1.88,1.96,0.5,1.9,2.0,1.93,1.99,1.96,2.04,1.92,1.95,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2022-08-15,20:00,Liverpool,Crystal Palace,1,1,D,0,1,A,P Tierney,24,7,4,3,7,8,4,2,2,4,1,0,1.18,6.75,16.0,1.2,6.75,15.0,1.2,6.75,15.0,1.2,7.09,18.57,1.18,6.5,17.0,1.15,7.0,17.0,1.23,7.23,19.0,1.2,6.85,16.33,1.57,2.37,1.57,2.52,1.57,2.57,1.55,2.46,-2.0,2.01,1.89,2.04,1.87,2.06,1.93,2.0,1.86,1.28,5.75,11.0,1.28,5.75,10.5,1.3,5.75,11.0,1.29,6.25,12.0,1.27,5.5,12.0,1.25,6.0,13.0,1.3,7.0,14.5,1.27,6.1,11.72,1.57,2.37,1.61,2.42,1.63,2.47,1.59,2.4,-1.75,2.06,1.84,2.08,1.83,2.08,2.09,2.02,1.86,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2022-08-20,15:00,Crystal Palace,Aston Villa,3,1,H,1,1,D,A Madley,17,13,9,5,16,14,4,2,2,1,0,0,2.5,3.25,2.9,2.5,3.2,2.87,2.5,3.2,2.95,2.58,3.19,3.12,2.5,3.2,2.9,2.45,3.13,2.9,2.6,3.35,3.16,2.52,3.2,3.0,2.2,1.66,2.27,1.7,2.29,1.75,2.19,1.69,0.0,1.78,2.13,1.79,2.17,1.82,2.17,1.78,2.12,2.45,3.2,3.0,2.45,3.1,3.0,2.45,3.2,3.0,2.56,3.26,3.08,2.38,3.25,3.0,2.55,3.2,3.0,2.61,3.3,3.25,2.5,3.22,3.06,2.2,1.66,2.27,1.7,2.34,1.74,2.24,1.67,-0.25,2.08,1.73,2.17,1.78,2.19,1.83,2.12,1.77,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2022-08-20,15:00,Everton,Nottingham Forest,1,1,D,0,0,D,A Marriner,19,14,8,5,6,9,6,2,3,2,0,0,1.9,3.6,4.0,1.9,3.5,4.0,1.97,3.45,3.85,2.0,3.45,4.27,1.91,3.5,4.0,1.93,3.3,4.0,2.02,3.64,4.3,1.97,3.48,4.05,2.1,1.72,2.1,1.81,2.12,1.82,2.06,1.78,-0.5,1.98,1.92,2.0,1.93,2.02,1.94,1.98,1.9,1.85,3.6,4.2,1.85,3.4,4.4,1.9,3.55,4.3,1.89,3.58,4.62,1.85,3.4,4.4,1.87,3.5,4.5,1.99,3.7,4.62,1.91,3.52,4.33,2.1,1.72,2.18,1.77,2.2,1.85,2.11,1.75,-0.5,1.86,2.04,1.89,2.03,1.96,2.08,1.9,1.97,22/23,,,,,,,,,,,,,,,,,,,,,,,,,,
