feature,importance
home_rolling_xg,0.076176554
away_rolling_shots_on_target,0.066333994
away_rolling_xg,0.06363216
home_rolling_shots_on_target,0.057369098
table_position_diff,0.054449406
low_scoring_tendency,0.053368744
home_table_position,0.053341247
points_diff,0.046181444
away_relegation_incentive,0.046149313
incentive_diff,0.03900585
home_rolling_possession,0.038982168
home_rolling_corners,0.03741975
away_rolling_possession,0.036691375
away_table_position,0.03661745
home_desperation,0.035770673
home_recent_form_points,0.03467301
away_desperation,0.03464696
table_proximity,0.034368966
away_recent_form_points,0.034176968
away_points,0.0328027
away_rolling_corners,0.032603886
home_points,0.03256746
home_relegation_incentive,0.022670927
home_rolling_shots,0.0
away_rolling_shots,0.0
elo_adjustment_factor,0.0
elo_fatigue_impact,0.0
elo_home_elo_effective,0.0
elo_adjusted_elo_gap,0.0
elo_raw_elo_gap,0.0
elo_away_elo_effective,0.0
elo_schedule_impact,0.0
home_rest_days,0.0
away_rest_days,0.0
away_fatigue_index,0.0
fatigue_diff,0.0
home_fatigue_index,0.0
elo_diff_cluster,0.0
league_epl,0.0
league_championship,0.0
