Feature Importance TOP 50
============================================================

 1. f1932                                             : 10.0786
 2. f1251                                             : 9.1570
 3. f4679                                             : 7.7773
 4. f2078                                             : 7.3372
 5. f1222                                             : 6.9062
 6. f200                                              : 6.8143
 7. f1107                                             : 6.7542
 8. f6451                                             : 6.5249
 9. f1249                                             : 5.5829
10. f2137                                             : 5.5038
11. f2273                                             : 5.0230
12. f1922                                             : 4.9625
13. f4701                                             : 4.8740
14. f2209                                             : 4.8425
15. f2533                                             : 4.3846
16. f198                                              : 4.2756
17. f2801                                             : 4.2560
18. f557                                              : 4.0362
19. f204                                              : 4.0338
20. f2606                                             : 4.0021
21. f2883                                             : 3.8904
22. f1298                                             : 3.8870
23. f2080                                             : 3.8731
24. f2729                                             : 3.8094
25. f560                                              : 3.7679
26. f2129                                             : 3.7005
27. f4659                                             : 3.6801
28. f2607                                             : 3.4623
29. f1064                                             : 3.4432
30. f1051                                             : 3.3676
31. f2150                                             : 3.3062
32. f1121                                             : 3.2646
33. f1902                                             : 3.1449
34. f1039                                             : 3.1338
35. f2685                                             : 3.1302
36. f2155                                             : 3.0647
37. f352                                              : 3.0175
38. f2264                                             : 2.9407
39. f2381                                             : 2.8906
40. f1478                                             : 2.8746
41. f2798                                             : 2.7734
42. f2316                                             : 2.7229
43. f2262                                             : 2.5930
44. f2581                                             : 2.5673
45. f2051                                             : 2.4952
46. f2123                                             : 2.4943
47. f435                                              : 2.4584
48. f2196                                             : 2.4122
49. f2315                                             : 2.3921
50. f2409                                             : 2.3663
