rank,params,mean_test_score,std_test_score,mean_train_score,std_train_score,fit_time,score_time
1,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.523464720597337,0.09313224732817019,1.0,0.0,0.010710795720418295,0.0017484029134114583
2,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.49981320285979774,0.13003428783539484,1.0,0.0,0.009844382603963217,0.0017237663269042969
3,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.49777352064708386,0.10573594127977201,1.0,0.0,0.007070223490397136,0.001765886942545573
4,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.49247547312202483,0.16595354882139698,1.0,0.0,0.006997903188069661,0.001812299092610677
5,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.49008303938859493,0.1579167463465265,1.0,0.0,0.0097657839457194,0.0017824172973632812
5,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.49008303938859493,0.1579167463465265,1.0,0.0,0.010546366373697916,0.0020984013875325522
7,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.4893562708319846,0.11991404140531026,1.0,0.0,0.011596282323201498,0.001885811487833659
8,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.4685694177503044,0.149035314710624,0.9937062074686936,0.00890076675653599,0.011041800181070963,0.0017344951629638672
8,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.4685694177503044,0.149035314710624,1.0,0.0,0.011341253916422525,0.001694043477376302
8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.4685694177503044,0.149035314710624,1.0,0.0,0.005871693293253581,0.0015072027842203777
11,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.46487093153759823,0.12300959717611093,1.0,0.0,0.007274468739827474,0.0017631053924560547
12,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.46349987804072584,0.12556607186537655,1.0,0.0,0.009726365407307943,0.0018560091654459636
13,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.46322458358918633,0.11083911527199544,1.0,0.0,0.006653149922688802,0.001798073450724284
14,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.4608427777115729,0.10083513640201959,0.9811275911164924,0.01540559717189439,0.0070756276448567705,0.001831372578938802
15,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.4524409055326109,0.11256642723735374,0.9874168992925929,0.00889759753363434,0.007880131403605143,0.0016959508260091145
16,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.4515473417975108,0.09283315291412718,0.9875354855747013,0.008815031452121615,0.006464799245198567,0.0017231305440266926
