feature,importance
home_season_season_goal_diff_avg,0.04206396
away_season_season_goal_diff_avg,0.041371774
implied_prob_away,0.040825635
implied_prob_home,0.030724881
implied_prob_draw,0.029727636
h2h_h2h_away_win_rate,0.026718564
home_season_season_win_rate,0.026643993
away_season_season_matches_played,0.026425257
home_recent_matches_played,0.025678098
away_season_season_points,0.025625313
home_recent_home_win_rate,0.02539636
home_season_season_goals_for_avg,0.025347836
away_season_season_goals_for_avg,0.025333706
away_season_season_draw_rate,0.025149073
away_season_season_win_rate,0.025134442
h2h_h2h_home_win_rate,0.025065953
home_season_season_goals_against_avg,0.025023827
away_season_season_goals_against_avg,0.024902053
odds_away,0.024685094
away_recent_goal_diff_avg,0.024502
odds_draw,0.024387797
home_season_season_draw_rate,0.024284812
odds_home,0.02382581
home_recent_goal_diff_avg,0.023774756
h2h_h2h_draw_rate,0.023674719
home_recent_loss_rate,0.023084195
away_recent_matches_played,0.023019588
h2h_h2h_matches_played,0.02301698
away_recent_win_rate,0.022923972
home_season_season_matches_played,0.022909904
home_recent_goals_for_avg,0.02264908
away_recent_draw_rate,0.02261749
home_recent_goals_against_avg,0.02258341
home_season_season_points,0.02246102
away_recent_goals_against_avg,0.022377525
away_recent_goals_for_avg,0.021961778
away_recent_loss_rate,0.021943958
home_recent_draw_rate,0.021229608
home_recent_win_rate,0.020928131
