feature,importance
home_season_season_goal_diff_avg,0.04988813
away_season_season_goal_diff_avg,0.049027357
home_season_season_win_rate,0.033424582
away_season_season_matches_played,0.03286186
away_season_season_win_rate,0.031964738
h2h_h2h_away_win_rate,0.03166945
away_season_season_goals_for_avg,0.03151126
away_season_season_points,0.031240746
away_season_season_draw_rate,0.031225687
home_season_season_goals_for_avg,0.031216048
home_season_season_goals_against_avg,0.03110028
home_season_season_draw_rate,0.031082856
away_season_season_goals_against_avg,0.03038202
away_recent_goal_diff_avg,0.03005769
h2h_h2h_home_win_rate,0.029798238
home_recent_home_win_rate,0.029675309
h2h_h2h_draw_rate,0.028909752
home_recent_matches_played,0.02843701
home_recent_goals_for_avg,0.028385814
away_recent_loss_rate,0.028109549
away_recent_goals_against_avg,0.027907068
home_recent_loss_rate,0.027761443
home_recent_goal_diff_avg,0.027685512
home_season_season_matches_played,0.027682282
away_recent_win_rate,0.027648304
away_recent_goals_for_avg,0.027265035
home_season_season_points,0.027188346
home_recent_goals_against_avg,0.027148345
h2h_h2h_matches_played,0.026740843
away_recent_draw_rate,0.026713103
home_recent_win_rate,0.026525844
home_recent_draw_rate,0.026070433
away_recent_matches_played,0.023695027
