feature,importance
content_lineup_awayTeam_starters_1_verticalLayout_x,0.037044957
xg_diff,0.019758705
content_stats_Periods_All_stats_3_stats_7_stats_sum,0.019210316
content_stats_Periods_All_stats_3_stats_7_stats_min,0.017207287
content_table_teams_std,0.015616936
content_stats_Periods_FirstHalf_stats_2_stats_5_stats_len,0.014117792
content_stats_Periods_All_stats_0_stats_4_stats_std,0.013517074
content_lineup_awayTeam_rating,0.013202417
content_stats_Periods_All_stats_4_stats_5_stats_mean,0.013058
content_lineup_awayTeam_subs_total_count,0.012497274
content_stats_Periods_All_stats_3_stats_9_stats_max,0.012255497
implied_prob_home,0.011923709
content_stats_Periods_All_stats_0_stats_5_stats_std,0.011298926
content_stats_Periods_All_stats_3_stats_7_stats_std,0.0105730165
content_stats_Periods_FirstHalf_stats_0_stats_5_stats_max,0.010532533
content_lineup_awayTeam_starters_8_horizontalLayout_y,0.009994529
content_stats_Periods_All_stats_4_stats_2_stats_min,0.009854385
content_lineup_awayTeam_starters_6_verticalLayout_x,0.008819064
content_stats_Periods_All_stats_4_stats_4_stats_max,0.008673322
content_lineup_awayTeam_starters_1_verticalLayout_y,0.00857021
content_stats_Periods_All_stats_2_stats_5_stats_len,0.0079234
content_stats_Periods_FirstHalf_stats_0_stats_3_stats_std,0.007635819
content_stats_Periods_FirstHalf_stats_1_stats_5_stats_min,0.0072644497
content_stats_Periods_All_stats_3_stats_9_stats_min,0.0072076623
content_stats_Periods_FirstHalf_stats_1_stats_3_stats_sum,0.0069802864
header_status_numberOfAwayRedCards,0.0069716247
content_stats_Periods_All_stats_3_stats_8_stats_std,0.0069567203
content_stats_Periods_FirstHalf_stats_0_stats_5_stats_std,0.0066652563
content_stats_Periods_FirstHalf_stats_0_stats_8_stats_std,0.0065721986
content_lineup_awayTeam_starters_7_verticalLayout_x,0.0065208324
content_stats_Periods_All_stats_0_stats_8_stats_max,0.006449455
odds_home,0.0064366753
content_stats_Periods_FirstHalf_stats_0_stats_0_stats_min,0.006431213
content_stats_Periods_All_stats_4_stats_3_stats_min,0.0064163115
content_stats_Periods_All_stats_0_stats_8_stats_mean,0.006389838
content_stats_Periods_All_stats_0_stats_8_stats_min,0.006360908
content_stats_Periods_FirstHalf_stats_0_stats_3_stats_min,0.0061989706
content_stats_Periods_All_stats_4_stats_4_stats_std,0.0061853086
content_stats_Periods_FirstHalf_stats_0_stats_2_stats_mean,0.006177887
content_stats_Periods_FirstHalf_stats_0_stats_5_stats_mean,0.0060100486
content_stats_Periods_All_stats_0_stats_4_stats_max,0.0060061533
content_stats_Periods_All_stats_3_stats_2_stats_len,0.005797044
content_stats_Periods_FirstHalf_stats_0_stats_8_stats_min,0.0057611065
content_stats_Periods_All_stats_0_stats_7_stats_max,0.005684843
content_stats_Periods_All_stats_1_stats_2_stats_min,0.005568709
content_stats_Periods_FirstHalf_stats_1_stats_1_stats_sum,0.0055347015
content_stats_Periods_All_stats_5_stats_1_stats_std,0.0055316035
implied_prob_away,0.005477878
content_stats_Periods_All_stats_1_stats_4_stats_max,0.0054565477
content_stats_Periods_All_stats_1_stats_7_stats_min,0.0054331776
content_stats_Periods_All_stats_3_stats_9_stats_std,0.0054060505
content_stats_Periods_FirstHalf_stats_0_stats_7_stats_mean,0.0053832694
content_stats_Periods_All_stats_3_stats_7_stats_mean,0.0053581265
content_stats_Periods_All_stats_0_stats_3_stats_mean,0.005301142
content_stats_Periods_All_stats_0_stats_7_stats_mean,0.00525896
content_stats_Periods_FirstHalf_stats_0_stats_8_stats_mean,0.005228879
content_stats_Periods_All_stats_3_stats_9_stats_mean,0.005207252
content_stats_Periods_All_stats_1_stats_6_stats_min,0.0051558916
content_stats_Periods_All_stats_3_stats_3_stats_max,0.005134669
content_stats_Periods_All_stats_1_stats_6_stats_max,0.0051311846
header_status_numberOfHomeRedCards,0.00512635
content_stats_Periods_FirstHalf_stats_1_stats_7_stats_max,0.0050609447
content_stats_Periods_FirstHalf_stats_1_stats_5_stats_std,0.0050561605
content_stats_Periods_FirstHalf_stats_1_stats_3_stats_max,0.0050456
content_stats_Periods_FirstHalf_stats_0_stats_3_stats_max,0.0050041624
content_stats_Periods_All_stats_1_stats_7_stats_max,0.0049929703
content_stats_Periods_All_stats_3_stats_3_stats_mean,0.0049450644
content_stats_Periods_All_stats_3_stats_1_stats_mean,0.0049375044
content_stats_Periods_FirstHalf_stats_1_stats_6_stats_std,0.0049065673
content_stats_Periods_FirstHalf_stats_0_stats_3_stats_mean,0.0048741847
content_stats_Periods_All_stats_4_stats_5_stats_min,0.004864352
content_stats_Periods_FirstHalf_stats_1_stats_7_stats_mean,0.004861206
content_stats_Periods_All_stats_4_stats_2_stats_std,0.004860711
content_stats_Periods_All_stats_0_stats_0_stats_std,0.0048588426
content_stats_Periods_All_stats_6_stats_1_stats_max,0.0048587816
content_stats_Periods_All_stats_1_stats_2_stats_max,0.0048307218
content_stats_Periods_All_stats_0_stats_3_stats_min,0.0048268693
odds_away,0.004822974
content_stats_Periods_All_stats_0_stats_2_stats_std,0.004818181
content_stats_Periods_All_stats_5_stats_1_stats_max,0.004816691
content_stats_Periods_All_stats_3_stats_8_stats_min,0.004791574
content_stats_Periods_FirstHalf_stats_1_stats_4_stats_max,0.004773679
content_stats_Periods_FirstHalf_stats_1_stats_6_stats_min,0.0047530136
implied_prob_draw,0.004720707
content_stats_Periods_FirstHalf_stats_0_stats_7_stats_max,0.0047013597
content_stats_Periods_FirstHalf_stats_0_stats_2_stats_std,0.0046260515
content_stats_Periods_All_stats_0_stats_3_stats_std,0.0045308582
content_stats_Periods_All_stats_0_stats_5_stats_max,0.0044849184
content_stats_Periods_All_stats_4_stats_1_stats_min,0.0044612465
content_stats_Periods_All_stats_1_stats_4_stats_min,0.0044564903
content_stats_Periods_All_stats_3_stats_3_stats_min,0.0044534537
content_stats_Periods_All_stats_1_stats_2_stats_mean,0.0044468334
content_stats_Periods_All_stats_3_stats_4_stats_min,0.004336597
content_stats_Periods_All_stats_1_stats_2_stats_std,0.004325224
content_stats_Periods_All_stats_1_stats_5_stats_min,0.0043010623
content_stats_Periods_All_stats_6_stats_1_stats_std,0.004283533
content_stats_Periods_FirstHalf_stats_0_stats_4_stats_mean,0.0042752367
content_stats_Periods_All_stats_1_stats_6_stats_std,0.0042639268
content_stats_Periods_FirstHalf_stats_1_stats_6_stats_max,0.0042299083
content_stats_Periods_All_stats_6_stats_1_stats_min,0.004214398
content_stats_Periods_All_stats_3_stats_8_stats_max,0.0042070816
content_stats_Periods_All_stats_5_stats_1_stats_mean,0.004189733
content_stats_Periods_FirstHalf_stats_1_stats_7_stats_min,0.0041463166
content_stats_Periods_All_stats_3_stats_1_stats_std,0.0041420828
content_stats_Periods_All_stats_4_stats_1_stats_std,0.0041364534
content_stats_Periods_All_stats_3_stats_4_stats_max,0.004135103
content_stats_Periods_All_stats_3_stats_3_stats_std,0.004133524
content_stats_Periods_FirstHalf_stats_0_stats_4_stats_std,0.004127777
content_stats_Periods_All_stats_4_stats_3_stats_std,0.0041257283
content_stats_Periods_All_stats_3_stats_1_stats_min,0.004121164
odds_draw,0.004117757
content_stats_Periods_All_stats_0_stats_7_stats_min,0.0041064355
content_stats_Periods_FirstHalf_stats_1_stats_4_stats_mean,0.004086496
content_stats_Periods_FirstHalf_stats_1_stats_5_stats_mean,0.004086136
content_h2h_matches_total_count,0.0040415404
content_stats_Periods_FirstHalf_stats_1_stats_2_stats_std,0.0040402254
content_stats_Periods_All_stats_4_stats_3_stats_mean,0.0040299795
content_stats_Periods_All_stats_0_stats_7_stats_std,0.0040117395
content_stats_Periods_All_stats_3_stats_1_stats_max,0.003960027
content_stats_Periods_All_stats_0_stats_5_stats_mean,0.0039477632
content_stats_Periods_FirstHalf_stats_1_stats_3_stats_std,0.0039445744
content_stats_Periods_FirstHalf_stats_0_stats_2_stats_max,0.003937948
content_stats_Periods_All_stats_0_stats_2_stats_min,0.0039109634
content_stats_Periods_All_stats_0_stats_5_stats_min,0.0039049692
content_stats_Periods_All_stats_5_stats_1_stats_min,0.0038947228
content_stats_Periods_All_stats_4_stats_4_stats_mean,0.0038709983
content_stats_Periods_All_stats_0_stats_4_stats_min,0.0038605232
content_stats_Periods_All_stats_0_stats_3_stats_max,0.0038584198
content_stats_Periods_FirstHalf_stats_1_stats_2_stats_min,0.0038492733
content_stats_Periods_All_stats_3_stats_4_stats_mean,0.0038411308
content_stats_Periods_All_stats_3_stats_4_stats_std,0.0038381838
content_stats_Periods_All_stats_1_stats_4_stats_std,0.003836983
content_stats_Periods_FirstHalf_stats_1_stats_3_stats_min,0.0038217024
content_stats_Periods_All_stats_1_stats_6_stats_mean,0.003811755
content_stats_Periods_All_stats_0_stats_4_stats_mean,0.003804658
content_stats_Periods_FirstHalf_stats_1_stats_3_stats_mean,0.0037936808
content_stats_Periods_FirstHalf_stats_1_stats_4_stats_min,0.0037349262
content_stats_Periods_FirstHalf_stats_0_stats_0_stats_std,0.0037257841
content_stats_Periods_FirstHalf_stats_0_stats_8_stats_max,0.0036908723
content_stats_Periods_FirstHalf_stats_0_stats_2_stats_min,0.0036895392
content_stats_Periods_FirstHalf_stats_1_stats_2_stats_mean,0.0036888572
content_stats_Periods_FirstHalf_stats_1_stats_4_stats_std,0.0036733195
content_stats_Periods_All_stats_4_stats_4_stats_min,0.0036590486
content_stats_Periods_FirstHalf_stats_0_stats_7_stats_min,0.0036199705
content_stats_Periods_FirstHalf_stats_3_stats_total_count,0.0036190245
content_stats_Periods_FirstHalf_stats_0_stats_4_stats_min,0.003595314
content_stats_Periods_All_stats_4_stats_1_stats_max,0.0035892886
content_stats_Periods_All_stats_1_stats_5_stats_mean,0.0035884958
content_stats_Periods_FirstHalf_stats_1_stats_1_stats_min,0.0035796023
content_stats_Periods_FirstHalf_stats_1_stats_1_stats_max,0.0035315435
content_stats_Periods_FirstHalf_stats_1_stats_6_stats_mean,0.0035276634
content_stats_Periods_FirstHalf_stats_3_stats_away_count,0.0034513825
content_stats_Periods_FirstHalf_stats_0_stats_5_stats_min,0.003445539
content_stats_Periods_All_stats_1_stats_4_stats_mean,0.0034280631
content_stats_Periods_All_stats_0_stats_2_stats_mean,0.0034107536
content_stats_Periods_FirstHalf_stats_0_stats_7_stats_std,0.0034053011
content_stats_Periods_All_stats_1_stats_7_stats_mean,0.003393258
content_stats_Periods_All_stats_6_stats_1_stats_mean,0.0033814202
content_lineup_awayTeam_starters_5_verticalLayout_x,0.0032757884
content_lineup_awayTeam_starters_9_performance_rating,0.003240506
content_stats_Periods_All_stats_4_stats_1_stats_mean,0.0031977135
content_stats_Periods_All_stats_0_stats_8_stats_std,0.003188704
content_stats_Periods_All_stats_4_stats_3_stats_max,0.0031279195
content_lineup_awayTeam_starters_5_verticalLayout_width,0.0030898042
content_table_teams_mean,0.0030847923
content_stats_Periods_FirstHalf_stats_0_stats_4_stats_max,0.0030660913
content_stats_Periods_FirstHalf_stats_1_stats_7_stats_std,0.0029472958
content_stats_Periods_FirstHalf_stats_1_stats_2_stats_max,0.002918427
content_stats_Periods_All_stats_1_stats_7_stats_std,0.0029144208
content_stats_Periods_All_stats_0_stats_2_stats_max,0.0028317457
content_stats_Periods_All_stats_1_stats_5_stats_std,0.0027991128
content_stats_Periods_All_stats_4_stats_2_stats_max,0.0027392558
content_stats_Periods_All_stats_1_stats_5_stats_max,0.0026763892
content_lineup_awayTeam_starters_1_performance_rating,0.0026017146
content_table_teams_min,0.0024214527
content_stats_Periods_All_stats_3_stats_total_count,0.0023742795
content_lineup_awayTeam_subs_0_performance_substitutionEvents_0_time,0.0023697591
content_lineup_awayTeam_starters_1_horizontalLayout_width,0.0021893394
content_stats_Periods_All_stats_4_stats_2_stats_mean,0.002148304
content_h2h_matches_0_status_started,0.0020753862
content_lineup_awayTeam_starters_8_verticalLayout_width,0.0018355935
content_lineup_awayTeam_starters_5_horizontalLayout_y,0.0017613085
content_table_teams_max,0.0014356794
content_lineup_awayTeam_starters_5_verticalLayout_y,0.0011498332
content_lineup_awayTeam_starters_4_verticalLayout_x,0.0011400692
content_stats_Periods_FirstHalf_stats_2_stats_total_count,0.00093023834
content_stats_Periods_FirstHalf_stats_1_stats_2_stats_sum,0.00016464706
content_stats_Periods_All_stats_3_stats_8_stats_mean,0.00010493037
content_stats_Periods_FirstHalf_stats_1_stats_home_away_diff,0.0
content_stats_Periods_FirstHalf_stats_1_stats_away_count,0.0
content_stats_Periods_FirstHalf_stats_1_stats_home_count,0.0
content_stats_Periods_FirstHalf_stats_1_stats_home_ratio,0.0
content_stats_Periods_FirstHalf_stats_1_stats_total_count,0.0
content_stats_Periods_FirstHalf_stats_0_stats_8_stats_sum,0.0
content_stats_Periods_FirstHalf_stats_3_stats_home_count,0.0
content_stats_Periods_FirstHalf_stats_2_stats_4_stats_len,0.0
content_stats_Periods_FirstHalf_stats_2_stats_3_stats_len,0.0
