match,bet_on,odds,model_prob,raw_prob,fair_prob,edge,bet_amount,result,p&l,capital_after
Liverpool vs AFC Bournemouth,away_win,9.0,0.34875739023236635,0.2212373335310759,0.10744444444444444,0.2413129457879219,20.0,LOSS,-20.0,980.0
Liverpool vs AFC Bournemouth,away_win,9.0,0.3463621379846936,0.24495680329145023,0.10744444444444444,0.23891769354024917,19.6,LOSS,-19.6,960.4
Nottingham Forest vs Brentford,draw,3.5,0.340527979146461,0.29479225005627546,0.27628571428571425,0.06424226486074675,18.425074910291404,LOSS,-18.425074910291404,941.9749250897086
Nottingham Forest vs Brentford,draw,3.5,0.35011540289078386,0.2262338267968278,0.27628571428571425,0.07382968860506961,18.83949850179417,LOSS,-18.83949850179417,923.1354265879144
Chelsea vs Crystal Palace,away_win,5.0,0.3374187420502779,0.3093911612372923,0.19340000000000002,0.14401874205027787,18.462708531758288,LOSS,-18.462708531758288,904.6727180561561
Chelsea vs Crystal Palace,away_win,5.0,0.3382451491759206,0.30205734938979917,0.19340000000000002,0.14484514917592056,18.093454361123122,LOSS,-18.093454361123122,886.579263695033
West Ham United vs Chelsea,draw,3.9,0.3503838213298851,0.21496595265789786,0.24794871794871798,0.10243510338116713,17.73158527390066,LOSS,-17.73158527390066,868.8476784211323
West Ham United vs Chelsea,draw,3.9,0.34861888734846525,0.22814898205487935,0.24794871794871798,0.10067016939974727,17.376953568422646,LOSS,-17.376953568422646,851.4707248527096
AFC Bournemouth vs Wolverhampton Wanderers,away_win,5.5,0.35121623131117263,0.20233242171272148,0.17581818181818182,0.17539804949299082,17.029414497054194,WIN,76.63236523674388,928.1030900894535
Brentford vs Aston Villa,draw,3.8,0.3508838356033901,0.2093453823805071,0.2544736842105263,0.0964101513928638,18.56206180178907,LOSS,-18.56206180178907,909.5410282876644
AFC Bournemouth vs Wolverhampton Wanderers,away_win,5.5,0.34878880025236725,0.2278606859747552,0.17581818181818182,0.17297061843418543,18.190820565753288,WIN,81.8586925458898,991.3997208335542
Brentford vs Aston Villa,draw,3.8,0.34191240217528907,0.2759926857695597,0.2544736842105263,0.08743871796476277,19.827994416671086,LOSS,-19.827994416671086,971.571726416883
Crystal Palace vs Nottingham Forest,draw,3.4,0.3471338075219365,0.2321661511432049,0.28441176470588236,0.06272204281605415,18.242771736154175,WIN,43.78265216677002,1015.3543785836531
Crystal Palace vs Nottingham Forest,draw,3.4,0.34150593467243207,0.2743825490095235,0.28441176470588236,0.0570941699665497,17.04104980156253,WIN,40.89851952375007,1056.252898107403
Chelsea vs Fulham,away_win,6.0,0.34672212804029345,0.24454677422776647,0.16116666666666665,0.1855554613736268,21.125057962148063,WIN,105.62528981074031,1161.8781879181433
Chelsea vs Fulham,away_win,6.0,0.34791015360335553,0.2314964590429551,0.16116666666666665,0.18674348693668888,23.237563758362867,WIN,116.18781879181434,1278.0660067099577
Nottingham Forest vs West Ham United,draw,3.5,0.3507790104920802,0.20544523828664385,0.27628571428571425,0.07449329620636597,25.561320134199153,LOSS,-25.561320134199153,1252.5046865757586
Nottingham Forest vs West Ham United,draw,3.5,0.3416929015175701,0.27388610587368817,0.27628571428571425,0.06540718723185585,24.539717524573117,LOSS,-24.539717524573117,1227.9649690511856
Liverpool vs Arsenal,draw,3.6,0.3504909729356448,0.21493221741038274,0.26861111111111113,0.08187986182453366,24.559299381023713,WIN,63.85417839066166,1291.8191474418472
Liverpool vs Arsenal,draw,3.6,0.351429943142182,0.2079000813385125,0.26861111111111113,0.08281883203107088,25.836382948836945,WIN,67.17459566697606,1358.9937431088233
Aston Villa vs Crystal Palace,away_win,5.5,0.3072661515501861,0.5109700568436634,0.17581818181818182,0.1314479697320043,27.179874862176465,LOSS,-27.179874862176465,1331.8138682466467
Aston Villa vs Crystal Palace,away_win,5.5,0.3071393172207273,0.5117915445839804,0.17581818181818182,0.13132113540254547,26.636277364932937,LOSS,-26.636277364932937,1305.1775908817137
Arsenal vs Nottingham Forest,away_win,9.0,0.3590377919489032,0.15036542232933509,0.10744444444444444,0.2515933475044587,26.103551817634276,LOSS,-26.103551817634276,1279.0740390640794
Arsenal vs Nottingham Forest,away_win,9.0,0.3592054785086878,0.1469582076845109,0.10744444444444444,0.2517610340642433,25.581480781281588,LOSS,-25.581480781281588,1253.4925582827977
Brentford vs Chelsea,draw,3.6,0.34642525795403184,0.23688133972799774,0.26861111111111113,0.0778141468429207,25.069851165655955,WIN,65.18161303070548,1318.6741713135032
Brentford vs Chelsea,draw,3.6,0.3422604148059683,0.26819460306502524,0.26861111111111113,0.07364930369485717,26.373483426270063,WIN,68.57105690830217,1387.2452282218053
Burnley vs Liverpool,home_win,6.5,0.33655600334488195,0.3129310507575737,0.14876923076923076,0.18778677257565118,27.744904564436105,LOSS,-27.744904564436105,1359.500323657369
Burnley vs Liverpool,home_win,6.5,0.3365575293300996,0.31291834605540125,0.14876923076923076,0.18778829856086882,27.19000647314738,LOSS,-27.19000647314738,1332.3103171842217
Liverpool vs Everton,away_win,8.0,0.3452798760053399,0.24740947683530087,0.120875,0.22440487600533987,26.646206343684437,LOSS,-26.646206343684437,1305.6641108405372
Liverpool vs Everton,away_win,8.0,0.3419172919518766,0.27901978966679625,0.120875,0.22104229195187658,26.113282216810745,LOSS,-26.113282216810745,1279.5508286237264
Burnley vs Nottingham Forest,draw,3.5,0.35846822033953624,0.14453011290412243,0.27628571428571425,0.08218250605382199,25.59101657247453,LOSS,-25.59101657247453,1253.959812051252
West Ham United vs Crystal Palace,draw,3.5,0.3509685399086546,0.20399175094110947,0.27628571428571425,0.07468282562294037,25.079196241025038,LOSS,-25.079196241025038,1228.8806158102268
West Ham United vs Crystal Palace,draw,3.5,0.35034123222346586,0.20879851990704482,0.27628571428571425,0.07405551793775161,24.577612316204537,LOSS,-24.577612316204537,1204.3030034940223
Burnley vs Nottingham Forest,draw,3.5,0.35646735466706414,0.16030510843727636,0.27628571428571425,0.0801816403813499,24.086060069880446,LOSS,-24.086060069880446,1180.2169434241418
Fulham vs Brentford,draw,3.7,0.3468346668468066,0.24962358964006406,0.2613513513513513,0.08548331549545529,23.604338868482838,LOSS,-23.604338868482838,1156.6126045556591
Fulham vs Brentford,draw,3.7,0.3499387765638043,0.22717995652494827,0.2613513513513513,0.088587425212453,23.132252091113184,LOSS,-23.132252091113184,1133.4803524645458
Crystal Palace vs Liverpool,home_win,6.0,0.31687133375055176,0.4477206294150447,0.16116666666666665,0.1557046670838851,22.669607049290917,LOSS,-22.669607049290917,1110.8107454152548
Crystal Palace vs Liverpool,home_win,6.0,0.3197438854259528,0.4284407955149596,0.16116666666666665,0.15857721875928613,22.216214908305098,LOSS,-22.216214908305098,1088.5945305069497
Aston Villa vs Fulham,away_win,4.5,0.34545628012384294,0.24861926615497296,0.21488888888888888,0.13056739123495406,21.771890610138993,LOSS,-21.771890610138993,1066.8226398968106
Aston Villa vs Fulham,away_win,4.5,0.3450914353370328,0.2521535272270351,0.21488888888888888,0.1302025464481439,21.336452797936214,LOSS,-21.336452797936214,1045.4861870988743
Everton vs West Ham United,away_win,3.9,0.33349934374345885,0.33590825502666133,0.24794871794871798,0.08555062579474088,20.909723741977487,LOSS,-20.909723741977487,1024.5764633568967
Everton vs West Ham United,away_win,3.9,0.3331425786925207,0.33887549986718724,0.24794871794871798,0.0851938607438027,20.491529267137935,LOSS,-20.491529267137935,1004.0849340897588
AFC Bournemouth vs Fulham,draw,3.5,0.3436104684016704,0.2651996082058448,0.27628571428571425,0.06732475411595618,20.081698681795178,LOSS,-20.081698681795178,984.0032354079636
AFC Bournemouth vs Fulham,draw,3.5,0.3390362654346282,0.2983503411120371,0.27628571428571425,0.06275055114891398,18.36415019711119,LOSS,-18.36415019711119,965.6390852108525
Arsenal vs West Ham United,away_win,10.0,0.34903526924573985,0.2249945317114197,0.09670000000000001,0.25233526924573985,19.312781704217052,WIN,173.81503533795347,1139.454120548806
Arsenal vs West Ham United,away_win,10.0,0.34802777695028203,0.2372314731503563,0.09670000000000001,0.251327776950282,22.78908241097612,WIN,205.10174169878508,1344.555862247591
Chelsea vs Liverpool,draw,3.7,0.35110464127385027,0.2061131134835392,0.2613513513513513,0.08975328992249898,26.891117244951822,LOSS,-26.891117244951822,1317.6647450026392
Chelsea vs Liverpool,draw,3.7,0.34031709253234704,0.28642667686072165,0.2613513513513513,0.07896574118099575,26.353294900052784,LOSS,-26.353294900052784,1291.3114501025864
Aston Villa vs Burnley,away_win,7.5,0.34897410512392574,0.2245255924051373,0.12893333333333332,0.22004077179059242,25.82622900205173,LOSS,-25.82622900205173,1265.4852211005345
Everton vs Crystal Palace,draw,3.3,0.3464368208919375,0.23833128916648083,0.29303030303030303,0.05340651786163447,19.70326224087009,LOSS,-19.70326224087009,1245.7819588596644
