         3790170 function calls (3683532 primitive calls) in 2.079 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.005    0.000    9.516    0.032 __init__.py:1(<module>)
        9    0.001    0.000    2.291    0.255 main.py:1(<module>)
   2851/1    0.056    0.000    2.086    2.086 {built-in method builtins.exec}
  2166/28    0.008    0.000    1.961    0.070 <frozen importlib._bootstrap>:1165(_find_and_load)
  2156/28    0.006    0.000    1.960    0.070 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
  2060/36    0.005    0.000    1.958    0.054 <frozen importlib._bootstrap>:666(_load_unlocked)
  1913/34    0.003    0.000    1.957    0.058 <frozen importlib._bootstrap_external>:934(exec_module)
  4815/61    0.002    0.000    1.956    0.032 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   873/33    0.001    0.000    1.735    0.053 {built-in method builtins.__import__}
6481/2942    0.004    0.000    1.700    0.001 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.727    0.727 model_training.py:1(<module>)
5799/5710    0.053    0.000    0.603    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.517    0.517 common_models.py:1(<module>)
55956/48664    0.015    0.000    0.438    0.000 {built-in method builtins.hasattr}
       10    0.000    0.000    0.425    0.042 client.py:1(<module>)
        3    0.000    0.000    0.368    0.123 __init__.py:129(__getattr__)
        3    0.000    0.000    0.368    0.123 evaluation_dataset.py:1(<module>)
      425    0.002    0.000    0.350    0.001 routing.py:959(add_api_route)
       31    0.001    0.000    0.348    0.011 base.py:1(<module>)
      425    0.005    0.000    0.348    0.001 routing.py:507(__init__)
        1    0.000    0.000    0.308    0.308 dataset_registry.py:1(<module>)
3592/1040    0.006    0.000    0.294    0.000 _generate_schema.py:702(generate_schema)
        1    0.000    0.000    0.291    0.291 pandas_dataset.py:1(<module>)
        1    0.000    0.000    0.279    0.279 data_router.py:1(<module>)
5742/1040    0.009    0.000    0.278    0.000 _generate_schema.py:1002(_generate_schema_inner)
        2    0.000    0.000    0.261    0.131 applications.py:1(<module>)
        2    0.000    0.000    0.251    0.126 routing.py:1(<module>)
        7    0.000    0.000    0.250    0.036 models.py:1(<module>)
        1    0.000    0.000    0.248    0.248 main.py:463(run)
        1    0.000    0.000    0.247    0.247 server.py:63(run)
        1    0.000    0.000    0.245    0.245 runners.py:160(run)
        1    0.000    0.000    0.244    0.244 runners.py:86(run)
      149    0.003    0.000    0.244    0.002 _model_construction.py:83(__new__)
2162/1597    0.007    0.000    0.242    0.000 _generate_schema.py:2185(_apply_annotations)
      892    0.004    0.000    0.237    0.000 utils.py:76(create_model_field)
       24    0.000    0.000    0.228    0.009 applications.py:1334(include_router)
       24    0.001    0.000    0.228    0.009 routing.py:1200(include_router)
        1    0.000    0.000    0.215    0.215 params.py:1(<module>)
      892    0.004    0.000    0.215    0.000 v2.py:85(__post_init__)
     1913    0.009    0.000    0.210    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
      151    0.004    0.000    0.209    0.001 _model_construction.py:584(complete_model_class)
       13    0.000    0.000    0.205    0.016 api.py:1(<module>)
3423/1597    0.002    0.000    0.199    0.000 _schema_generation_shared.py:82(__call__)
        1    0.000    0.000    0.186    0.186 base_unified.py:1(<module>)
    26/24    0.000    0.000    0.186    0.008 __init__.py:108(import_module)
    32/24    0.000    0.000    0.185    0.008 <frozen importlib._bootstrap>:1192(_gcd_import)
      892    0.004    0.000    0.182    0.000 type_adapter.py:196(__init__)
2162/1597    0.002    0.000    0.177    0.000 _generate_schema.py:2202(inner_handler)
      892    0.006    0.000    0.173    0.000 type_adapter.py:263(_init_core_attrs)
  611/260    0.004    0.000    0.170    0.001 _generate_schema.py:741(_model_schema)
  608/425    0.003    0.000    0.161    0.000 utils.py:277(get_dependant)
  172/147    0.000    0.000    0.160    0.001 _generate_schema.py:856(<dictcomp>)
 1241/704    0.001    0.000    0.160    0.000 _generate_schema.py:1221(_generate_md_field_schema)
 1270/705    0.007    0.000    0.158    0.000 _generate_schema.py:1261(_common_field_schema)
4239/1497    0.022    0.000    0.155    0.000 _generate_schema.py:1030(match_type)
     7494    0.006    0.000    0.136    0.000 __init__.py:272(_compile)
     1912    0.004    0.000    0.136    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      702    0.004    0.000    0.134    0.000 utils.py:362(analyze_param)
        2    0.000    0.000    0.133    0.067 server.py:67(serve)
        2    0.000    0.000    0.133    0.067 server.py:71(_serve)
        5    0.000    0.000    0.133    0.027 importer.py:9(import_from_string)
        1    0.000    0.000    0.132    0.132 config.py:395(load)
        9    0.000    0.000    0.132    0.015 events.py:1(<module>)
     1912    0.131    0.000    0.131    0.000 {built-in method marshal.loads}
      942    0.000    0.000    0.129    0.000 __init__.py:225(compile)
 1808/883    0.004    0.000    0.127    0.000 _generate_schema.py:1150(_match_generic_type)
    44/42    0.000    0.000    0.127    0.003 deprecations.py:249(warned)
      151    0.000    0.000    0.125    0.001 routing.py:1071(decorator)
      629    0.002    0.000    0.123    0.000 _compiler.py:740(compile)
        3    0.000    0.000    0.120    0.040 fluent.py:1(<module>)
        1    0.000    0.000    0.116    0.116 repositories.py:1(<module>)
10919/10453    0.007    0.000    0.112    0.000 typing.py:373(inner)
        1    0.000    0.000    0.110    0.110 on.py:78(main)
        1    0.000    0.000    0.110    0.110 proxy_headers.py:27(__call__)
        1    0.000    0.000    0.110    0.110 applications.py:1130(__call__)
        1    0.000    0.000    0.110    0.110 applications.py:109(__call__)
        1    0.000    0.000    0.110    0.110 errors.py:150(__call__)
        1    0.000    0.000    0.110    0.110 cors.py:75(__call__)
        1    0.000    0.000    0.110    0.110 base.py:99(__call__)
        1    0.000    0.000    0.110    0.110 exceptions.py:46(__call__)
        1    0.000    0.000    0.110    0.110 asyncexitstack.py:15(__call__)
        1    0.000    0.000    0.110    0.110 routing.py:711(__call__)
        1    0.000    0.000    0.110    0.110 routing.py:717(app)
        1    0.000    0.000    0.110    0.110 routing.py:684(lifespan)
        2    0.000    0.000    0.108    0.054 manager.py:1(<module>)
     13/1    0.000    0.000    0.108    0.108 contextlib.py:205(__aenter__)
     12/1    0.000    0.000    0.108    0.108 routing.py:205(merged_lifespan)
        1    0.000    0.000    0.108    0.108 main.py:92(lifespan)
      892    0.002    0.000    0.107    0.000 _generate_schema.py:2170(_annotated_schema)
        8    0.000    0.000    0.106    0.013 plugins.py:8(get_entry_points)
        8    0.000    0.000    0.106    0.013 plugins.py:4(_get_entry_points)
        8    0.000    0.000    0.106    0.013 __init__.py:1021(entry_points)
 1149/465    0.002    0.000    0.104    0.000 _generate_schema.py:1318(_union_schema)
        1    0.000    0.000    0.104    0.104 builtin.py:1(<module>)
        1    0.000    0.000    0.103    0.103 relevance_to_query.py:1(<module>)
        1    0.000    0.000    0.103    0.103 definitions.py:111(initialize_database)
        1    0.000    0.000    0.103    0.103 definitions.py:37(initialize)
        2    0.000    0.000    0.103    0.051 <string>:1(create_engine)
        2    0.000    0.000    0.103    0.051 create.py:92(create_engine)
     1449    0.001    0.000    0.102    0.000 {built-in method builtins.sorted}
   133/98    0.000    0.000    0.102    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
        8    0.000    0.000    0.102    0.013 __init__.py:473(load)
   133/98    0.063    0.000    0.101    0.001 {built-in method _imp.exec_dynamic}
     2280    0.001    0.000    0.101    0.000 __init__.py:1038(<genexpr>)
     2126    0.011    0.000    0.097    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        8    0.000    0.000    0.094    0.012 config.py:1(<module>)
       31    0.001    0.000    0.089    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.088    0.088 psycopg2.py:688(import_dbapi)
        2    0.000    0.000    0.087    0.044 prediction.py:1(<module>)
        1    0.000    0.000    0.081    0.081 extensions.py:1(<module>)
        1    0.000    0.000    0.080    0.080 _range.py:1(<module>)
        6    0.000    0.000    0.079    0.013 _range.py:292(__init__)
        6    0.079    0.013    0.079    0.013 _range.py:306(_create_ranges)
     2556    0.001    0.000    0.079    0.000 __init__.py:559(entry_points)
1261/1027    0.002    0.000    0.078    0.000 _generate_schema.py:2354(new_handler)
        2    0.000    0.000    0.077    0.039 features.py:1(<module>)
     2120    0.001    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
     2120    0.004    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
2060/2049    0.002    0.000    0.074    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        2    0.000    0.000    0.074    0.037 interfaces.py:1(<module>)
32545/31770    0.007    0.000    0.072    0.000 {method 'join' of 'str' objects}
   592614    0.042    0.000    0.072    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.071    0.071 model.py:1(<module>)
        3    0.000    0.000    0.070    0.023 generic.py:1(<module>)
